SL1,SL2,KMC1,KMC2,KMC3,OLC1,OLC2,OLC3,TIC1,TIC2,TIC3,MCI
3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0
3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0
2.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0
2.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0
3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0
4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0
3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0
3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
3.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0
2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0
4.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0
5.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0
4.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0
4.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0
4.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0
3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0
2.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
2.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0
3.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0
2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0
2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0
5.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0
3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0
4.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0
3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0
3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0
4.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0
3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0
3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
3.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0
3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0
2.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0
4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0
4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0
4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0
4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0
4.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0
3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0
3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0
1.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0
4.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0
3.0,4.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0
3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0
3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0
4.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0
4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0
3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0
3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0
5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0
5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0
4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0
3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0
4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0
4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0
2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0
2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0
4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0
3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0
3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0
2.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0
4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0
3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0
4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0
4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0
4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0
4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,2.0
4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0
3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0
2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0
2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0
2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0
4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
5.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0
3.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0
5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0
3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0
5.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0
3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0
4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0
2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0
3.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0
4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0
4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0
4.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0
3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0
4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0
2.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0
3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0
3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0
3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,2.0
5.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0
3.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
3.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0
3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0
2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0
2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0
5.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0
2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0
3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0
5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0
2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0
2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0
3.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2.0,2.0,4.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,3.0
2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0
4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0
4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0
2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0
3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0
1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0
3.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0
3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0
3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0
4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0
3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0
2.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0
5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0
5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0
3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0
4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0
3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0
3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0
2.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0
